href,apartment_type,price,address,square,building_floor,floor,commission_percent,time_of_creation,agency,metro_distance,metro_station,latitude,longitude,postal_code,area
/nizhniy_novgorod/kvartiry/3-k_kvartira_91.3_m_49_et._1923506345,"
 3-к квартира",28000,"Берёзовская ул., 104",91.3,4,9,60,2020-07-16 11:43:00,Агентство,"1,2 км",Буревестник,56.332332,43.872973,603157.0,Московский район
/nizhniy_novgorod/kvartiry/studiya_22_m_13_et._1891126008,"
 Студия",7000,"пос. Новинки, Чкаловский пр., 8",22.0,1,3,60,2020-07-16 11:33:00,Агентство,,без метро,56.189745,43.861609,607635.0,область
/nizhniy_novgorod/kvartiry/2-k_kvartira_52_m_1010_et._1923705578,"
 2-к квартира",20000,"ул. Тропинина, 61",52.0,10,10,60,2020-07-16 11:42:00,Агентство,,без метро,56.228511,43.937454,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_45_m_45_et._1774893462,"
 2-к квартира",13000,"пр-т Ленина, 52",45.0,4,5,50,2020-07-16 11:55:00,Агентство,200 м,Двигатель Революции,56.278498,43.92358400000001,603076.0,Ленинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_31_m_710_et._1965413478,"
 1-к квартира",11000,"ул. Звездинка, 9",31.0,7,10,0,2020-07-16 11:52:00,,400 м,Горьковская,56.316549,43.999375,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_54.7_m_55_et._1974602913,"
 3-к квартира",20000,"ул. Пискунова, 20А",54.7,5,5,0,2020-07-16 11:29:00,Агентство,"1,4 км",Горьковская,56.324371,44.007819,,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_32_m_810_et._1966299367,"
 1-к квартира",10000,"микрорайон Мончегорский, Мончегорская ул., 12к4",32.0,8,10,50,2020-07-16 10:59:00,Агентство,"2,5 км",Парк Культуры,56.230197,43.825695,,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_42_m_512_et._1952092645,"
 1-к квартира",15000,"ул. Чкалова, 28",42.0,5,12,60,2020-07-16 10:34:00,Агентство,200 м,Чкаловская,56.313563,43.938712,603002.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_30.3_m_69_et._1937599918,"
 1-к квартира",14000,"Авангардная ул., 14",30.3,6,9,0,2020-07-16 10:55:00,,"2,4 км",Бурнаковская,56.30935899999999,43.886681,603028.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_30_m_49_et._1842125390,"
 1-к квартира",12000,"Запрудная ул., 2",30.0,4,9,0,2020-06-22 10:32:00,,,без метро,56.291698,43.841289,,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_32_m_710_et._1918450113,"
 1-к квартира",14000,"Бурнаковская ул., 89",32.0,7,10,70,2020-06-22 15:34:00,Агентство,"1,5 км",Буревестник,56.34264,43.911268,603074.0,Сормовский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_30_m_79_et._1098600654,"
 1-к квартира",10000,"ул. Маршала Голованова, 73",30.0,7,9,50,2020-06-22 14:16:00,,,без метро,56.228756,43.949689,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_34_m_79_et._1949062520,"
 1-к квартира",11000,"ул. Белинского, 49",34.0,7,9,70,2020-06-22 11:58:00,Агентство,1 км,Горьковская,56.31424200000001,44.011556,603105.0,Нижегородский район
/nizhniy_novgorod/kvartiry/studiya_32_m_55_et._1936515462,"
 Студия",14000,"Совнаркомовская ул., 30",32.0,5,5,60,2020-06-22 11:52:00,,"1,1 км",Московская,56.32803000000001,43.957819,603070.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_34_m_35_et._1149685576,"
 1-к квартира",12000,"ул. Космонавта Комарова, 12",34.0,3,5,60,2020-06-22 15:23:00,Агентство,500 м,Заречная,56.28213,43.930977,603076.0,Ленинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_58_m_59_et._1885483826,"
 2-к квартира",15000,"ул. Максима Горького, 144",58.0,5,9,70,2020-06-22 14:56:00,Агентство,200 м,Горьковская,56.31490600000001,43.997443,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_33_m_910_et._1923881320,"
 1-к квартира",14000,"Казанское ш., 21",33.0,9,10,50,2020-06-22 15:50:00,Агентство,,без метро,56.287622,44.074573,603087.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_33_m_33_et._1942653782,"
 1-к квартира",10000,"Берестяная ул., 6",33.0,3,3,0,2020-06-22 12:59:00,,,без метро,56.206382,43.812211,603069.0,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_34_m_59_et._1934592173,"
 1-к квартира",12000,"ул. Дружаева, 13",34.0,5,9,50,2020-06-22 13:38:00,Агентство,"1,6 км",Комсомольская,56.264572,43.876872,603095.0,Автозаводский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_30_m_56_et._1891758860,"
 1-к квартира",13000,"жилой район Мещерское Озеро, ул. Карла Маркса, 30",30.0,5,6,50,2020-06-22 13:10:00,Агентство,1 км,Стрелка,56.34265,43.940966,603159.0,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_42_m_1717_et._1944157664,"
 1-к квартира",16000,"ул. Родионова, 165к10",42.0,17,17,0,2020-06-22 23:26:00,,,без метро,56.314197,44.067476,603093.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_38_m_112_et._1898375606,"
 1-к квартира",13000,"ул. Надежды Сусловой, 26",38.0,1,12,50,2020-06-22 12:44:00,,,без метро,56.304475,44.046168,603106.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_30_m_710_et._1934535918,"
 1-к квартира",12000,"ул. Янки Купалы, 22",30.0,7,10,60,2020-06-22 13:53:00,Агентство,"1,3 км",Парк Культуры,56.233119,43.845736,603142.0,Автозаводский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_68_m_56_et._1870479884,"
 2-к квартира",22000,"Полтавская ул., 30",68.0,5,6,0,2020-06-22 20:43:00,,"2,1 км",Горьковская,56.313648,44.028292,603089.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_49_m_15_et._1654285103,"
 2-к квартира",14000,"Юбилейный б-р, 29",49.0,1,5,0,2020-06-22 12:24:00,,,без метро,56.34168199999999,43.847299,603094.0,Сормовский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_36_m_39_et._1909531663,"
 1-к квартира",10000,"Казанское ш., 23",36.0,3,9,60,2020-06-22 09:22:00,Агентство,,без метро,56.286033,44.07510300000001,603087.0,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_54_m_48_et._1842650350,"
 2-к квартира",20000,"Молодёжный пр-т, 38к2",54.0,4,8,0,2020-06-22 18:32:00,Агентство,"1,1 км",Парк Культуры,56.24465,43.844038,603101.0,Автозаводский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_48_m_610_et._1894324221,"
 2-к квартира",16000,"Бурнаковская ул., 53",48.0,6,10,50,2020-06-22 12:16:00,Агентство,"1,6 км",Буревестник,56.340789,43.915975,603074.0,Московский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_37_m_39_et._1936638433,"
 1-к квартира",14000,"ул. Звездинка, 5",37.0,3,9,60,2020-06-22 12:58:00,,200 м,Горьковская,56.315475,43.995485,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_49.3_m_89_et._1926432139,"
 2-к квартира",15000,"Горная ул., 26",49.3,8,9,70,2020-06-22 12:30:00,,,без метро,56.256783,43.98378,603062.0,Приокский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_83_m_818_et._1336715177,"
 3-к квартира",50000,"ул. Тимирязева, 7к2",83.0,8,18,0,2020-06-23 05:54:00,,900 м,Горьковская,56.306088,43.999554,603022.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_44_m_717_et._1858002009,"
 2-к квартира",15000,"д. Афонино, ул. Красная Поляна, 4",44.0,7,17,50,2020-06-22 09:42:00,Агентство,,без метро,56.278118000000006,44.083718,,область
/nizhniy_novgorod/kvartiry/3-k_kvartira_63_m_510_et._1905242064,"
 3-к квартира",30000,"ул. Генкиной, 45/33",63.0,5,10,0,2020-06-22 15:38:00,,"1,9 км",Горьковская,56.314652,44.024869,603105.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_73_m_310_et._1931271928,"
 2-к квартира",16000,"Деловая ул., 24к1",73.0,3,10,70,2020-06-22 13:42:00,,,без метро,56.304435,44.077672,603163.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_37_m_814_et._1932247450,"
 1-к квартира",13000,"пр-т Гагарина, 196",37.0,8,14,0,2020-06-22 09:05:00,,,без метро,56.236721,43.95737,603137.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_43_m_59_et._1878350788,"
 2-к квартира",15000,"ул. Бринского, 5к2",43.0,5,9,0,2020-06-22 09:41:00,,,без метро,56.299391,44.058098,603163.0,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_43_m_35_et._1930327543,"
 2-к квартира",17000,"Кемеровская ул., 18",43.0,3,5,0,2020-06-22 13:22:00,Агентство,,без метро,56.24544,43.974123,603152.0,Приокский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_46_m_35_et._1791084275,"
 2-к квартира",13000,"ул. Веденяпина, 23",46.0,3,5,60,2020-06-21 23:57:00,,"1,6 км",Парк Культуры,56.231023,43.877536,603147.0,Автозаводский район
