y,agency,commissionPercent,metroDistance,metroStation,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area,vip
1,Yes,50,800,Парк Культуры,Автозаводская линия,1-к квартира,32.0,1,5,1568119620,2 недели назад,56.234795,43.856730999999996,603083,Автозаводский район,No
3,Yes,50,400,Московская,Сормовская линия,1-к квартира,46.0,3,10,1568144940,2 недели назад,56.323523,43.940957,603002,Канавинский район,No
3,Yes,0,5000,Двигатель Революции,Автозаводская линия,2-к квартира,46.0,8,9,1568118600,2 недели назад,56.26126800000001,43.997246000000004,603144,Приокский район,No
3,No,50,5800,Горьковская,Автозаводская линия,2-к квартира,64.0,8,18,1568139300,2 недели назад,56.26259200000001,44.015365,603136,Приокский район,No
3,No,0,4400,Горьковская,Автозаводская линия,4-к квартира,70.0,2,5,1568109300,2 недели назад,56.290484,44.052357,603162,Советский район,No
1,Yes,80,2900,Горьковская,Автозаводская линия,1-к квартира,31.0,3,3,1568113560,2 недели назад,56.287936,43.994344,603081,Советский район,No
4,No,0,300,Горьковская,Автозаводская линия,2-к квартира,50.0,1,9,1568137020,2 недели назад,56.3155,43.998288,603000,Нижегородский район,No
2,Yes,70,1200,Буревестник,Сормовская линия,3-к квартира,70.0,2,9,1568102820,2 недели назад,56.33003100000001,43.8745,603157,Московский район,No
3,Yes,50,4200,Горьковская,Автозаводская линия,3-к квартира,75.0,4,9,1568106780,2 недели назад,56.317992000000004,44.063155,603093,Нижегородский район,No
2,Yes,50,400,Московская,Сормовская линия,2-к квартира,48.0,2,5,1568103300,2 недели назад,56.318211,43.942718,603011,Канавинский район,No
3,Yes,50,800,Парк Культуры,Автозаводская линия,3-к квартира,80.0,8,17,1568107860,2 недели назад,56.241239,43.848017999999996,603101,Автозаводский район,No
3,Yes,50,1800,Горьковская,Автозаводская линия,2-к квартира,45.0,8,9,1568117580,2 недели назад,56.321626,44.019954999999996,603155,Нижегородский район,No
2,No,0,500,Ленинская,Автозаводская линия,1-к квартира,21.0,2,2,1568108220,2 недели назад,56.298781999999996,43.929863,603011,Канавинский район,No
2,Yes,50,2200,Горьковская,Автозаводская линия,2-к квартира,43.0,1,9,1568104320,2 недели назад,56.321726,44.028184,603155,Нижегородский район,No
3,Yes,50,1400,Бурнаковская,Сормовская линия,2-к квартира,48.0,9,9,1568105160,2 недели назад,56.337556000000006,43.919685,603074,Московский район,No
2,Yes,50,2300,Буревестник,Сормовская линия,2-к квартира,45.0,2,5,1568102280,2 недели назад,56.31839100000001,43.86717,603047,Московский район,No
2,Yes,60,2900,Парк Культуры,Автозаводская линия,1-к квартира,36.0,7,9,1568100780,2 недели назад,56.220974,43.832019,603142,Автозаводский район,No
2,Yes,60,800,Буревестник,Сормовская линия,2-к квартира,48.0,7,9,1568103120,2 недели назад,56.33788000000001,43.882495,603157,Сормовский район,No
3,Yes,50,800,Стрелка,Сормовская линия,1-к квартира,35.0,14,17,1568957340,1 неделю назад,56.342251,43.948431,603159,Канавинский район,No
1,No,0,6500,Парк Культуры,Автозаводская линия,1-к квартира,38.0,5,5,1568923140,1 неделю назад,56.183599,43.875991,607635,Богородский район,No
2,No,0,5400,Горьковская,Автозаводская линия,1-к квартира,40.0,14,19,1568926860,1 неделю назад,56.295294999999996,44.075238,603163,Нижегородский район,No
2,No,60,400,Заречная,Автозаводская линия,2-к квартира,45.0,5,5,1568925780,1 неделю назад,56.283954,43.92256,603135,Ленинский район,No
3,No,0,3300,Буревестник,Сормовская линия,3-к квартира,62.0,3,6,1568919120,1 неделю назад,56.328193999999996,43.839529,603148,Московский район,No
2,No,80,5800,Горьковская,Автозаводская линия,1-к квартира,30.0,1,17,1568919540,1 неделю назад,56.284464,44.073019,603087,Нижегородский район,No
3,No,0,4500,Горьковская,Автозаводская линия,2-к квартира,46.9,2,5,1568918460,1 неделю назад,56.28753199999999,44.050336,603136,Советский район,No
2,No,0,1400,Парк Культуры,Автозаводская линия,3-к квартира,66.0,2,11,1568912880,1 неделю назад,56.24946600000001,43.842969000000004,603101,Автозаводский район,No
3,Yes,0,1500,Горьковская,Автозаводская линия,Студия,20.0,4,17,1568918160,1 неделю назад,56.301793,43.982639,603022,Советский район,No
3,No,0,5400,Горьковская,Автозаводская линия,3-к квартира,92.2,3,14,1568914380,1 неделю назад,56.285114,44.065158000000004,603087,Нижегородский район,No
3,Yes,0,1300,Ленинская,Автозаводская линия,2-к квартира,100.0,2,9,1568919600,1 неделю назад,56.28944,43.952195,603132,Ленинский район,No
2,Yes,70,3700,Ленинская,Автозаводская линия,2-к квартира,45.0,3,5,1568913180,1 неделю назад,56.280766,43.988487,603081,Советский район,No
2,Yes,50,2800,Буревестник,Сормовская линия,1-к квартира,36.0,5,9,1568910900,1 неделю назад,56.348178000000004,43.855204,603003,Сормовский район,No
2,No,0,400,Двигатель Революции,Автозаводская линия,2-к квартира,44.0,3,5,1568911500,1 неделю назад,56.279602000000004,43.925821,603076,Ленинский район,No
2,Yes,50,1800,Парк Культуры,Автозаводская линия,3-к квартира,59.0,7,9,1568901780,1 неделю назад,56.229556,43.878848,603147,Автозаводский район,No
1,No,30,100,Чкаловская,Автозаводская линия,1-к квартира,37.3,4,9,1568901660,1 неделю назад,56.312749,43.938631,603059,Канавинский район,No
1,No,0,4700,Двигатель Революции,None,1-к квартира,32.0,1,9,1568907900,1 неделю назад,56.28982,43.847621999999994,604033,Канавинский район,No
3,No,0,3800,Автозаводская,Автозаводская линия,2-к квартира,60.0,7,10,1568908020,1 неделю назад,56.237352,43.951881,603137,Приокский район,No
4,No,0,5100,Горьковская,Автозаводская линия,3-к квартира,75.0,7,16,1568900700,1 неделю назад,56.294291,44.069488,603163,Нижегородский район,No
3,Yes,50,1900,Горьковская,Автозаводская линия,2-к квартира,55.0,8,12,1568905020,1 неделю назад,56.296799,43.993024,603098,Советский район,No
4,No,0,1000,Заречная,Автозаводская линия,3-к квартира,61.0,5,9,1568897640,1 неделю назад,56.282835,43.944434,603032,Ленинский район,No
2,Yes,60,5000,Двигатель Революции,Автозаводская линия,1-к квартира,31.0,3,9,1568893260,1 неделю назад,56.291574,43.844883,603033,Канавинский район,No
1,Yes,50,3000,Бурнаковская,Сормовская линия,1-к квартира,30.0,2,2,1568890380,1 неделю назад,56.303476,43.884992,603108,Канавинский район,No
2,Yes,50,1100,Ленинская,Автозаводская линия,1-к квартира,35.0,8,9,1568893440,1 неделю назад,56.291029,43.950668,603132,Ленинский район,No
2,Yes,50,1900,Горьковская,Автозаводская линия,1-к квартира,35.0,1,3,1568898780,1 неделю назад,56.32794499999999,44.012868,603600,Нижегородский район,No
2,Yes,50,2300,Бурнаковская,Сормовская линия,2-к квартира,44.0,4,9,1568892000,1 неделю назад,56.313632999999996,43.883187,603028,Канавинский район,No
1,Yes,70,2800,Буревестник,Сормовская линия,1-к квартира,22.0,4,9,1568892060,1 неделю назад,56.32801,43.848584,603035,Московский район,No
3,Yes,65,700,Стрелка,Сормовская линия,2-к квартира,54.0,2,9,1568892840,1 неделю назад,56.33493100000001,43.93864,603070,Канавинский район,No
2,Yes,60,3300,Буревестник,Сормовская линия,1-к квартира,36.0,4,10,1568892000,1 неделю назад,56.331778,43.839321999999996,603148,Московский район,No
2,Yes,70,1800,Заречная,Автозаводская линия,2-к квартира,40.0,1,2,1568889420,1 неделю назад,56.27803299999999,43.953228,603032,Ленинский район,No
2,No,0,5000,Автозаводская,Автозаводская линия,1-к квартира,31.0,8,10,1568887260,1 неделю назад,56.222265,43.952159,603137,Приокский район,No
3,Yes,50,4100,Пролетарская,Автозаводская линия,3-к квартира,70.0,5,9,1568887800,1 неделю назад,56.255838,43.977896,603009,Приокский район,No
2,Yes,65,2700,Парк Культуры,Автозаводская линия,1-к квартира,35.0,6,10,1568900280,1 неделю назад,56.21699,43.861151,603142,Автозаводский район,No
4,No,70,1700,Горьковская,Автозаводская линия,2-к квартира,80.0,8,16,1568906220,1 неделю назад,56.316593999999995,44.02159,603024,Советский район,No
1,Yes,60,2800,Буревестник,Сормовская линия,1-к квартира,31.0,6,9,1568883360,1 неделю назад,56.32801,43.848584,603035,Московский район,No
1,Yes,60,1700,Буревестник,Сормовская линия,1-к квартира,36.0,6,10,1568883000,1 неделю назад,56.341313,43.917592,603074,Московский район,No
3,No,0,6400,Буревестник,Сормовская линия,4-к квартира,70.0,1,9,1568879460,1 неделю назад,56.367138,43.807584999999996,603158,Сормовский район,No
1,Yes,60,2600,Канавинская,Сормовская линия,1-к квартира,32.0,3,5,1568883120,1 неделю назад,56.314712,43.886214,603079,Канавинский район,No
3,Yes,50,3300,Заречная,Автозаводская линия,2-к квартира,60.0,3,5,1568887260,1 неделю назад,56.255327,43.97009,603009,Приокский район,No
1,Yes,70,1500,Парк Культуры,Автозаводская линия,1-к квартира,35.0,5,10,1568881440,1 неделю назад,56.23678100000001,43.838316,603142,Автозаводский район,No
3,Yes,50,2700,Буревестник,Сормовская линия,3-к квартира,70.0,5,9,1568880600,1 неделю назад,56.350577,43.86213,603003,Сормовский район,No
4,Yes,50,500,Ленинская,Автозаводская линия,3-к квартира,96.0,7,10,1568883780,1 неделю назад,56.302273,43.93722,603011,Канавинский район,No
2,No,70,1500,Парк Культуры,Автозаводская линия,1-к квартира,32.0,1,9,1568879700,1 неделю назад,56.254006999999994,43.851952000000004,603138,Автозаводский район,No
1,Yes,50,1700,Буревестник,Сормовская линия,1-к квартира,30.0,2,5,1568880660,1 неделю назад,56.34465600000001,43.871994,603003,Сормовский район,No
2,Yes,70,4600,Горьковская,Автозаводская линия,1-к квартира,42.0,7,11,1568884860,1 неделю назад,56.30358100000001,44.067593,603163,Нижегородский район,No
2,No,0,1500,Парк Культуры,Автозаводская линия,2-к квартира,57.0,9,9,1568881080,1 неделю назад,56.23401,43.876915999999994,603147,Автозаводский район,No
2,Yes,0,800,Чкаловская,Автозаводская линия,Студия,31.1,23,24,1569666900,36 минут назад,56.307272,43.945359,603059,Ленинский район,Yes
4,No,0,900,Горьковская,Автозаводская линия,3-к квартира,105.0,5,7,1569652380,4 часа назад,56.31251999999999,43.980699,603000,Нижегородский район,Yes
4,No,0,1500,Горьковская,Автозаводская линия,1-к квартира,47.0,4,10,1569650460,5 часов назад,56.319244999999995,44.016551,603006,Нижегородский район,Yes
4,No,0,1500,Горьковская,Автозаводская линия,2-к квартира,70.0,17,19,1569618960,13 часов назад,56.319244999999995,44.016551,603006,Нижегородский район,Yes
2,No,0,1400,Горьковская,Автозаводская линия,1-к квартира,32.0,1,4,1569668880,3 минуты назад,56.310607,44.017188,603105,Советский район,No
3,Yes,0,400,Заречная,Автозаводская линия,2-к квартира,51.0,8,9,1569669000,1 минуту назад,56.287887,43.934740999999995,603140,Ленинский район,No
3,Yes,0,1300,Парк Культуры,Автозаводская линия,3-к квартира,56.0,3,5,1569667860,20 минут назад,56.251162,43.848673,603138,Автозаводский район,No
2,Yes,0,6000,Буревестник,Сормовская линия,1-к квартира,33.0,1,9,1569666660,40 минут назад,56.364451,43.813082,603158,Сормовский район,No
2,Yes,50,2400,Буревестник,Сормовская линия,2-к квартира,49.0,7,9,1569666240,47 минут назад,56.351066,43.869559,603003,Сормовский район,No
1,No,0,2600,Парк Культуры,Автозаводская линия,Студия,25.0,14,17,1569666180,48 минут назад,56.217901,43.863954,603142,Автозаводский район,No
2,Yes,55,2300,Буревестник,Сормовская линия,1-к квартира,32.0,5,9,1569665160,1 час назад,56.351259999999996,43.872155,603003,Сормовский район,No
2,Yes,70,1600,Горьковская,Автозаводская линия,1-к квартира,34.0,3,4,1569665040,1 час назад,56.301324,43.98166,603022,Советский район,No
3,Yes,60,1300,Стрелка,Сормовская линия,1-к квартира,47.0,10,16,1569664980,1 час назад,56.340136,43.93007,603070,Канавинский район,No
3,No,0,3000,Горьковская,Автозаводская линия,1-к квартира,46.0,3,6,1569664920,1 час назад,56.31887,44.043222,603093,Нижегородский район,No
2,Yes,50,6900,Горьковская,Автозаводская линия,Студия,20.0,8,19,1569664500,1 час назад,56.276738,44.084544,603087,Кстовский район,No
4,No,0,2700,Горьковская,Автозаводская линия,3-к квартира,100.0,11,17,1569663840,1 час назад,56.310762,44.037625,603089,Советский район,No
4,Yes,60,5900,Горьковская,Автозаводская линия,3-к квартира,107.0,8,12,1569662760,1 час назад,56.286637,44.077762,603087,Нижегородский район,No
2,Yes,70,700,Чкаловская,Автозаводская линия,1-к квартира,33.0,2,4,1569662580,1 час назад,56.307147,43.94272700000001,603011,Ленинский район,No
4,Yes,70,2600,Горьковская,Автозаводская линия,2-к квартира,85.0,2,6,1569662880,1 час назад,56.323163,44.033888,603024,Нижегородский район,No
2,No,0,5300,Парк Культуры,Автозаводская линия,1-к квартира,36.5,2,3,1569662280,1 час назад,56.193822,43.852707,607635,Богородский район,No
4,Yes,70,600,Горьковская,Автозаводская линия,2-к квартира,90.0,4,5,1569662580,1 час назад,56.311801,43.986574,603000,Нижегородский район,No
4,Yes,70,1000,Горьковская,Автозаводская линия,1-к квартира,46.0,7,10,1569662400,1 час назад,56.309853000000004,43.979989,603000,Советский район,No
4,Yes,70,500,Горьковская,Автозаводская линия,1-к квартира,52.0,15,15,1569662460,1 час назад,56.31074200000001,44.001351,603105,Советский район,No
4,Yes,70,3900,Горьковская,Автозаводская линия,2-к квартира,70.0,6,9,1569662400,1 час назад,56.28436899999999,44.030232,603136,Советский район,No
2,Yes,70,5000,Горьковская,Автозаводская линия,1-к квартира,33.0,7,9,1569661800,2 часа назад,56.291499,44.06495200000001,603163,Нижегородский район,No
2,No,0,1100,Буревестник,Сормовская линия,3-к квартира,73.0,2,9,1569661380,2 часа назад,56.340056000000004,43.879207,603157,Сормовский район,No
2,Yes,50,2200,Буревестник,Сормовская линия,1-к квартира,36.0,3,5,1569661260,2 часа назад,56.31576,43.876656,603079,Канавинский район,No
4,No,0,400,Горьковская,Автозаводская линия,2-к квартира,42.0,7,8,1569660660,2 часа назад,56.317806999999995,43.99654500000001,603000,Нижегородский район,No
2,Yes,50,1300,Буревестник,Сормовская линия,1-к квартира,40.0,3,9,1569660060,2 часа назад,56.334348,43.871527,603157,Московский район,No
2,No,0,3000,Горьковская,Автозаводская линия,1-к квартира,31.0,1,5,1569658320,2 часа назад,56.303831,44.040769,603106,Советский район,No
2,Yes,40,4100,Автозаводская,Автозаводская линия,1-к квартира,44.0,4,9,1569657840,3 часа назад,56.230087,43.946698,603137,Приокский район,No
2,Yes,0,3200,Горьковская,Автозаводская линия,1-к квартира,32.0,1,9,1569656160,3 часа назад,56.316474,44.04730900000001,603093,Нижегородский район,Yes
2,Yes,50,3300,Буревестник,Сормовская линия,1-к квартира,36.0,4,10,1569655380,3 часа назад,56.331778,43.839321999999996,603148,Московский район,No
3,Yes,0,3600,Заречная,Автозаводская линия,1-к квартира,30.0,4,5,1569655440,3 часа назад,56.277698,43.98432800000001,603081,Приокский район,No
3,Yes,70,4000,Автозаводская,Автозаводская линия,1-к квартира,47.0,2,5,1569655620,3 часа назад,56.238517,43.957145000000004,603137,Приокский район,No
3,No,0,4500,Горьковская,None,3-к квартира,63.0,2,5,1569654540,4 часа назад,56.285208,44.046707,603136,Советский район,No
2,Yes,65,700,Стрелка,Сормовская линия,1-к квартира,41.0,13,23,1569652440,4 часа назад,56.341513,43.945979,603159,Канавинский район,No
4,No,0,5500,Горьковская,Автозаводская линия,3-к квартира,65.0,3,8,1569652140,4 часа назад,56.286802,44.070099,603087,Нижегородский район,Yes
1,No,0,2200,Парк Культуры,Автозаводская линия,Студия,17.0,3,10,1569651840,4 часа назад,56.230627,43.82777,603142,Автозаводский район,Yes
2,No,0,700,Чкаловская,Автозаводская линия,1-к квартира,33.0,5,5,1569650760,5 часов назад,56.306157999999996,43.932352,603011,Канавинский район,No
2,Yes,50,5300,Горьковская,Автозаводская линия,1-к квартира,42.0,9,17,1569649740,5 часов назад,56.28326,44.061556,603087,Нижегородский район,Yes
3,No,0,1300,Ленинская,Автозаводская линия,3-к квартира,63.0,1,9,1569667620,24 минуты назад,56.288256000000004,43.94995,603132,Ленинский район,No
3,Yes,70,5800,Двигатель Революции,Автозаводская линия,1-к квартира,35.0,10,17,1569648360,5 часов назад,56.259413,44.010496,603144,Приокский район,No
2,No,0,2000,Буревестник,Сормовская линия,1-к квартира,43.0,9,17,1569659400,2 часа назад,56.348247,43.872398,603003,Сормовский район,No
4,No,0,1000,Горьковская,Автозаводская линия,3-к квартира,96.0,9,10,1569647460,6 часов назад,56.30505,43.99172100000001,603022,Советский район,Yes
2,No,0,6900,Горьковская,Автозаводская линия,Студия,24.0,8,23,1569646680,6 часов назад,56.27744300000001,44.084212,603087,Кстовский район,No
2,Yes,0,1500,Горьковская,Автозаводская линия,Студия,21.0,2,14,1569655320,3 часа назад,56.30315699999999,43.980995,603022,Советский район,No
1,Yes,50,8400,Буревестник,None,2-к квартира,38.0,2,2,1569703800,14 часов назад,56.381714,43.789483000000004,603068,Сормовский район,No
2,Yes,0,1500,Горьковская,Автозаводская линия,Студия,18.0,2,14,1569699180,15 часов назад,56.30315699999999,43.980995,603022,Советский район,No
1,No,0,4200,Горьковская,Автозаводская линия,1-к квартира,32.0,3,5,1569658140,3 часа назад,56.277488,43.979621,603081,Приокский район,No
2,Yes,50,1800,Горьковская,Автозаводская линия,2-к квартира,52.0,14,14,1569693180,17 часов назад,56.310577,44.022641,603105,Советский район,No
4,No,0,3900,Автозаводская,Автозаводская линия,3-к квартира,74.0,1,9,1569689220,18 часов назад,56.236466,43.953606,603107,Приокский район,No
2,No,0,11500,Буревестник,Сормовская линия,2-к квартира,55.0,3,5,1569687420,18 часов назад,56.38991600000001,43.741611999999996,603066,Сормовский район,No
2,No,50,1900,Пролетарская,Автозаводская линия,1-к квартира,35.0,4,10,1569685920,19 часов назад,56.272785,43.885172,603053,Автозаводский район,No
3,Yes,70,700,Ленинская,Автозаводская линия,2-к квартира,65.0,4,10,1568268900,2 недели назад,56.30429,43.934795,603011,Ленинский район,No
4,Yes,0,2300,Горьковская,Автозаводская линия,1-к квартира,45.0,1,2,1568290860,2 недели назад,56.31553,44.032208000000004,603089,Советский район,No
4,Yes,70,300,Горьковская,Автозаводская линия,Студия,52.0,7,8,1568282880,2 недели назад,56.314161999999996,43.989215,603000,Нижегородский район,No
1,Yes,60,900,Парк Культуры,Автозаводская линия,1-к квартира,31.0,2,5,1568223960,2 недели назад,56.233484,43.856992,603077,Автозаводский район,No
4,Yes,70,800,Горьковская,Автозаводская линия,2-к квартира,64.0,17,18,1568275140,2 недели назад,56.312125,43.982298,603000,Нижегородский район,No
1,No,0,1200,Парк Культуры,Автозаводская линия,1-к квартира,35.0,1,10,1568223480,2 недели назад,56.252356999999996,43.857306,603138,Автозаводский район,No
2,Yes,50,3600,Заречная,Автозаводская линия,2-к квартира,45.0,2,5,1568220000,2 недели назад,56.27550400000001,43.983412,603081,Приокский район,No
3,No,60,2100,Горьковская,Автозаводская линия,2-к квартира,62.0,3,9,1568236380,2 недели назад,56.294895999999994,43.989907,603057,Советский район,No
2,No,50,3400,Горьковская,Автозаводская линия,1-к квартира,32.9,4,9,1568230320,2 недели назад,56.318775,44.049061,603093,Нижегородский район,No
2,Yes,70,500,Заречная,Автозаводская линия,1-к квартира,34.0,3,5,1568227800,2 недели назад,56.28213,43.930977,603076,Ленинский район,No
1,Yes,50,500,Стрелка,Сормовская линия,1-к квартира,40.0,4,10,1568213400,2 недели назад,56.336264,43.940814,603070,Канавинский район,No
4,No,0,800,Горьковская,Автозаводская линия,2-к квартира,78.0,1,4,1568261100,2 недели назад,56.313848,43.981471,603000,Нижегородский район,No
2,No,0,1100,Парк Культуры,Автозаводская линия,1-к квартира,52.1,1,8,1568222340,2 недели назад,56.243784999999995,43.843571000000004,603101,Автозаводский район,No
3,Yes,0,1300,Стрелка,Сормовская линия,1-к квартира,47.0,3,18,1568234940,2 недели назад,56.340136,43.93007,603070,Канавинский район,No
2,No,0,3600,Заречная,Автозаводская линия,1-к квартира,33.0,4,31,1568208600,2 недели назад,56.27724300000001,43.98431,603081,Приокский район,No
2,No,30,500,Московская,Сормовская линия,2-к квартира,45.0,7,9,1568211540,2 недели назад,56.32483000000001,43.942655,603116,Канавинский район,No
3,No,70,1400,Горьковская,Автозаводская линия,1-к квартира,45.0,5,9,1568238900,2 недели назад,56.320682,44.014646,603006,Нижегородский район,No
3,No,70,3200,Горьковская,Автозаводская линия,1-к квартира,40.0,3,18,1568236260,2 недели назад,56.285588,43.987894,603081,Советский район,No
3,No,60,400,Горьковская,Автозаводская линия,1-к квартира,41.0,4,10,1568236320,2 недели назад,56.31010300000001,43.995915999999994,603000,Нижегородский район,No
3,No,0,1100,Ленинская,Автозаводская линия,3-к квартира,76.0,22,25,1568205540,2 недели назад,56.302463,43.953139,603132,Ленинский район,No
2,Yes,50,4300,Двигатель Революции,Автозаводская линия,2-к квартира,60.0,2,3,1568204280,2 недели назад,56.262097,43.985459999999996,603062,Приокский район,No
2,No,0,1600,Парк Культуры,Автозаводская линия,1-к квартира,40.0,9,12,1568207880,2 недели назад,56.255322,43.852258,603138,Автозаводский район,No
2,No,0,4900,Горьковская,Автозаводская линия,1-к квартира,30.0,1,5,1568216400,2 недели назад,56.270345999999996,43.983699,603009,Приокский район,No
3,Yes,70,900,Ленинская,Автозаводская линия,1-к квартира,55.0,17,19,1568237820,2 недели назад,56.299985,43.951477000000004,603132,Ленинский район,No
3,No,0,4500,Двигатель Революции,Автозаводская линия,2-к квартира,49.0,2,9,1568202600,2 недели назад,56.256122999999995,43.984517,603062,Приокский район,No
3,Yes,70,4800,Автозаводская,Автозаводская линия,3-к квартира,68.0,1,9,1568196420,2 недели назад,56.223896999999994,43.950749,603137,Приокский район,No
2,Yes,70,200,Двигатель Революции,Автозаводская линия,2-к квартира,50.0,4,5,1568203200,2 недели назад,56.275484,43.92208400000001,603073,Ленинский район,No
3,Yes,50,2700,Горьковская,Автозаводская линия,1-к квартира,45.0,3,6,1568217300,2 недели назад,56.313503000000004,44.03767,603089,Советский район,No
2,Yes,60,1700,Буревестник,Сормовская линия,2-к квартира,46.0,2,4,1568191620,2 недели назад,56.326013,43.916083,603074,Московский район,No
2,Yes,70,2500,Горьковская,Автозаводская линия,2-к квартира,42.0,3,4,1568190060,2 недели назад,56.292781999999995,44.00702800000001,603146,Советский район,No
2,No,70,1900,Парк Культуры,Автозаводская линия,2-к квартира,43.0,2,5,1568190480,2 недели назад,56.22465699999999,43.861034000000004,603142,Автозаводский район,No
4,No,0,3200,Горьковская,Автозаводская линия,3-к квартира,60.0,4,5,1568198160,2 недели назад,56.298246999999996,44.03829,603106,Советский район,No
4,Yes,70,1900,Горьковская,Автозаводская линия,3-к квартира,75.0,8,14,1568198580,2 недели назад,56.314762,44.025309,603105,Советский район,No
2,No,0,900,Парк Культуры,Автозаводская линия,1-к квартира,50.0,5,10,1568207460,2 недели назад,56.241023,43.845690999999995,603101,Автозаводский район,No
2,Yes,70,1500,Кировская,Автозаводская линия,1-к квартира,33.0,2,5,1568192340,2 недели назад,56.257688,43.862992999999996,603138,Автозаводский район,No
2,No,65,1100,Парк Культуры,Автозаводская линия,2-к квартира,56.0,8,10,1568202840,2 недели назад,56.245775,43.84349,603101,Автозаводский район,No
3,Yes,50,2300,Буревестник,Сормовская линия,2-к квартира,57.0,7,9,1568220180,2 недели назад,56.348861,43.867682,603003,Сормовский район,No
2,Yes,50,3700,Пролетарская,Автозаводская линия,2-к квартира,52.0,2,2,1568185140,2 недели назад,56.255327,43.97009,603009,Приокский район,No
2,Yes,55,5600,Горьковская,Автозаводская линия,1-к квартира,35.0,3,10,1568198640,2 недели назад,56.285973,44.06945200000001,603087,Нижегородский район,No
1,Yes,60,3000,Парк Культуры,Автозаводская линия,1-к квартира,33.0,3,9,1568186640,2 недели назад,56.219221999999995,43.833940999999996,603142,Автозаводский район,No
1,Yes,60,200,Канавинская,Сормовская линия,1-к квартира,33.0,3,5,1568185740,2 недели назад,56.32223000000001,43.92592,603079,Московский район,No
1,Yes,60,1900,Парк Культуры,Автозаводская линия,1-к квартира,34.0,1,9,1568185500,2 недели назад,56.255878,43.84323,603138,Автозаводский район,No
2,Yes,70,700,Стрелка,Сормовская линия,2-к квартира,50.0,6,9,1568187900,2 недели назад,56.333265000000004,43.93864,603070,Канавинский район,No
1,No,0,1500,Парк Культуры,Автозаводская линия,2-к квартира,35.0,2,2,1568188140,2 недели назад,56.227844999999995,43.856336,603083,Автозаводский район,No
3,Yes,50,12200,Горьковская,Автозаводская линия,3-к квартира,63.0,4,9,1568176620,2 недели назад,56.365697,43.820251,603128,Сормовский район,No
3,Yes,50,5600,Горьковская,Автозаводская линия,2-к квартира,62.0,6,10,1568201640,2 недели назад,56.294891,44.078894,603163,Нижегородский район,No
2,No,0,5400,Горьковская,Автозаводская линия,1-к квартира,49.0,5,17,1568196960,2 недели назад,56.29186800000001,44.073260999999995,603163,Нижегородский район,No
3,Yes,50,600,Автозаводская,Автозаводская линия,3-к квартира,62.0,5,9,1568178300,2 недели назад,56.262712,43.899473,603065,Ленинский район,No
4,Yes,60,1000,Горьковская,Автозаводская линия,2-к квартира,58.0,8,9,1568225460,2 недели назад,56.309853000000004,43.979989,603000,Советский район,No
3,Yes,0,4300,Горьковская,Автозаводская линия,2-к квартира,60.0,6,26,1568194140,2 недели назад,56.286278,44.043554,603162,Советский район,No
3,Yes,50,1000,Ленинская,Автозаводская линия,2-к квартира,56.4,6,23,1569600240,1 день назад,56.300605000000004,43.953121,603132,Ленинский район,No
3,Yes,0,1700,Стрелка,Сормовская линия,1-к квартира,39.0,14,14,1569600600,1 день назад,56.34293,43.925929,603159,Канавинский район,No
1,No,0,4400,Автозаводская,Автозаводская линия,3-к квартира,62.0,2,5,1569599460,1 день назад,56.231543,43.956121,603137,Приокский район,No
2,No,0,3400,Буревестник,Сормовская линия,3-к квартира,61.0,5,9,1569599520,1 день назад,56.343149,43.839878999999996,603037,Сормовский район,No
2,Yes,50,400,Заречная,Автозаводская линия,2-к квартира,46.0,2,5,1569597060,1 день назад,56.288561,43.933572999999996,603132,Ленинский район,No
2,Yes,0,1200,Парк Культуры,Автозаводская линия,2-к квартира,43.0,3,5,1569596880,1 день назад,56.232372999999995,43.870628,603016,Автозаводский район,No
1,No,0,1800,Парк Культуры,Автозаводская линия,1-к квартира,25.0,1,3,1569597720,1 день назад,56.232624,43.835863,603142,Автозаводский район,No
4,No,0,3200,Горьковская,Автозаводская линия,1-к квартира,46.0,15,18,1569597720,1 день назад,56.285582999999995,43.988029,603081,Советский район,Yes
2,No,0,4400,Горьковская,Автозаводская линия,2-к квартира,45.0,7,9,1569595140,1 день назад,56.29914599999999,44.061035,603163,Нижегородский район,No
2,Yes,60,1700,Горьковская,Автозаводская линия,2-к квартира,44.0,5,5,1569594120,1 день назад,56.309489,44.021221999999995,603105,Советский район,No
3,Yes,70,6100,Горьковская,Автозаводская линия,2-к квартира,75.0,8,10,1569593880,1 день назад,56.285004,44.078831,603087,Нижегородский район,No
2,Yes,50,2200,Горьковская,Автозаводская линия,1-к квартира,42.0,6,10,1569591540,1 день назад,56.308319999999995,44.02972000000001,603089,Советский район,No
2,No,0,3800,Заречная,Автозаводская линия,3-к квартира,43.0,3,5,1569590280,1 день назад,56.279042000000004,43.988245,603009,Советский район,No
2,Yes,56,2000,Парк Культуры,Автозаводская линия,1-к квартира,34.0,5,9,1569673680,22 часа назад,56.258072999999996,43.847551,603138,Автозаводский район,No
3,No,70,700,Горьковская,Автозаводская линия,3-к квартира,65.0,6,9,1569590100,1 день назад,56.317388,44.003768,603006,Нижегородский район,No
