y,agency,commissionPercent,metroDistance,metroStation,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area,vip
2,Yes,50,4100,Двигатель Революции,Автозаводская линия,2-к квартира,57.9,5,19,1569663420,1 день назад,56.258557999999994,43.98016,603062,Приокский район,No
1,Yes,58,2400,Буревестник,Сормовская линия,1-к квартира,32.0,3,5,1569662700,1 день назад,56.314752,43.873385999999996,603079,Канавинский район,No
3,Yes,50,1100,Парк Культуры,Автозаводская линия,3-к квартира,80.0,3,9,1569660480,1 день назад,56.234115,43.872227,603147,Автозаводский район,No
2,Yes,70,5800,Буревестник,Сормовская линия,2-к квартира,48.0,3,9,1569660360,1 день назад,56.369446999999994,43.824059999999996,603158,Сормовский район,No
4,Yes,70,900,Горьковская,Автозаводская линия,2-к квартира,72.0,5,17,1569661260,1 день назад,56.306088,43.999553999999996,603022,Советский район,No
3,Yes,50,4400,Двигатель Революции,Автозаводская линия,3-к квартира,71.0,7,9,1569659880,1 день назад,56.25810799999999,43.985226000000004,603062,Приокский район,No
4,Yes,70,400,Горьковская,Автозаводская линия,2-к квартира,70.0,2,8,1569659700,1 день назад,56.31090699999999,43.997632,603000,Советский район,No
4,Yes,70,1700,Горьковская,Автозаводская линия,4-к квартира,130.0,7,8,1569659520,1 день назад,56.314602,44.022542,603024,Советский район,No
4,Yes,70,600,Горьковская,Автозаводская линия,3-к квартира,100.0,5,9,1569659700,1 день назад,56.311801,43.986574,603000,Нижегородский район,No
4,Yes,70,5300,Горьковская,Автозаводская линия,2-к квартира,59.0,13,19,1569659700,1 день назад,56.307646,44.080376,603093,Нижегородский район,No
2,No,0,1100,Буревестник,Сормовская линия,2-к квартира,39.0,4,9,1569658680,1 день назад,56.335949,43.875766999999996,603157,Московский район,No
4,Yes,50,1800,Горьковская,Автозаводская линия,3-к квартира,123.0,3,10,1568457900,2 недели назад,56.313838,44.023198,603105,Советский район,No
3,Yes,80,5300,Горьковская,Автозаводская линия,1-к квартира,40.0,11,22,1568445600,2 недели назад,56.307646,44.080376,603093,Нижегородский район,No
4,Yes,0,1500,Горьковская,Автозаводская линия,3-к квартира,100.0,5,5,1568441760,2 недели назад,56.314013,44.019596,603105,Советский район,No
2,Yes,70,1400,Парк Культуры,Автозаводская линия,2-к квартира,44.0,2,5,1568402520,2 недели назад,56.229696999999994,43.86673,603083,Автозаводский район,No
1,Yes,50,1900,Парк Культуры,Автозаводская линия,1-к квартира,31.0,3,5,1568396640,2 недели назад,56.224622,43.863334,603142,Автозаводский район,No
2,Yes,0,2200,Комсомольская,Автозаводская линия,1-к квартира,29.0,4,9,1568397900,2 недели назад,56.26910600000001,43.87008,603095,Автозаводский район,No
2,Yes,60,5500,Парк Культуры,Автозаводская линия,2-к квартира,48.0,5,5,1568395320,2 недели назад,56.20168,43.806821,603069,Автозаводский район,No
2,Yes,50,4200,Автозаводская,Автозаводская линия,1-к квартира,38.0,3,9,1568392380,2 недели назад,56.22784,43.945853,603137,Приокский район,No
2,No,0,2000,Буревестник,Сормовская линия,1-к квартира,32.0,1,5,1568395020,2 недели назад,56.345713,43.86929,603003,Сормовский район,No
1,No,60,1900,Парк Культуры,Автозаводская линия,1-к квартира,34.0,6,10,1568387640,2 недели назад,56.23819200000001,43.830833,603142,Автозаводский район,No
1,Yes,100,5700,Парк Культуры,Автозаводская линия,Студия,21.0,1,3,1568378400,2 недели назад,56.193091,43.890643,607635,Богородский район,No
1,Yes,50,6700,Буревестник,Сормовская линия,1-к квартира,35.0,2,9,1568379780,2 недели назад,56.36876899999999,43.804035999999996,603158,Сормовский район,No
2,Yes,40,2100,Буревестник,Сормовская линия,1-к квартира,35.0,3,4,1568392620,2 недели назад,56.322699,43.865894,603047,Московский район,No
2,No,50,1500,Парк Культуры,Автозаводская линия,1-к квартира,33.0,7,9,1568381580,2 недели назад,56.233289,43.878381,603016,Автозаводский район,No
4,Yes,50,1600,Горьковская,Автозаводская линия,4-к квартира,84.0,8,9,1568385900,2 недели назад,56.308935,44.018509,603105,Советский район,No
3,No,0,700,Чкаловская,Автозаводская линия,1-к квартира,35.0,3,24,1568394000,2 недели назад,56.30860500000001,43.945754,603011,Ленинский район,No
1,Yes,0,3700,Горьковская,Автозаводская линия,3-к квартира,58.8,1,5,1568361720,2 недели назад,56.281091,43.990194,603081,Советский район,No
1,No,0,6300,Парк Культуры,Автозаводская линия,1-к квартира,32.0,1,3,1568366880,2 недели назад,56.185688,43.846751,603018,Богородский район,No
4,Yes,60,300,Горьковская,Автозаводская линия,2-к квартира,70.0,4,8,1568407260,2 недели назад,56.314161999999996,43.989215,603000,Нижегородский район,No
3,Yes,60,1500,Московская,Сормовская линия,3-к квартира,71.0,5,10,1568366700,2 недели назад,56.334332999999994,43.943895,603070,Канавинский район,No
2,Yes,60,4200,Буревестник,Сормовская линия,2-к квартира,44.0,1,5,1568360880,2 недели назад,56.354138,43.835738,603054,Сормовский район,No
2,Yes,55,3500,Буревестник,Сормовская линия,1-к квартира,32.0,10,12,1568368740,2 недели назад,56.341657,43.837309999999995,603037,Сормовский район,No
2,No,0,1400,Бурнаковская,Сормовская линия,2-к квартира,31.7,6,9,1568356320,2 недели назад,56.336039,43.923225,603074,Московский район,No
4,Yes,70,500,Горьковская,Автозаводская линия,2-к квартира,43.9,4,9,1568385300,2 недели назад,56.311726,43.988101,603000,Нижегородский район,No
2,Yes,60,900,Буревестник,Сормовская линия,1-к квартира,32.0,8,9,1568361540,2 недели назад,56.338933,43.880914000000004,603157,Сормовский район,No
3,Yes,70,5200,Горьковская,Автозаводская линия,1-к квартира,42.0,5,6,1568386800,2 недели назад,56.301004000000006,44.076342,603163,Нижегородский район,No
3,Yes,70,1000,Горьковская,Автозаводская линия,2-к квартира,43.0,4,6,1568385300,2 недели назад,56.323053,43.998584,603005,Нижегородский район,No
1,Yes,60,5800,Горьковская,Автозаводская линия,1-к квартира,34.0,5,9,1568352660,2 недели назад,56.286032999999996,44.07510300000001,603087,Нижегородский район,No
3,Yes,50,35900,Горьковская,Автозаводская линия,2-к квартира,63.0,5,16,1568368860,2 недели назад,56.285114,44.065158000000004,603087,Нижегородский район,No
4,Yes,60,1800,Горьковская,Автозаводская линия,3-к квартира,80.0,12,13,1568381940,2 недели назад,56.313838,44.023198,603105,Советский район,No
3,Yes,70,1300,Горьковская,Автозаводская линия,2-к квартира,52.0,3,5,1568385360,2 недели назад,56.324895,44.002717,603005,Нижегородский район,No
2,No,60,1400,Парк Культуры,Автозаводская линия,1-к квартира,33.0,6,9,1568356800,2 недели назад,56.23366400000001,43.878084,603016,Автозаводский район,No
4,Yes,0,900,Горьковская,Автозаводская линия,3-к квартира,85.0,1,4,1568377380,2 недели назад,56.31759200000001,43.982118,603000,Нижегородский район,No
2,Yes,55,4500,Горьковская,Автозаводская линия,1-к квартира,35.0,2,9,1568359020,2 недели назад,56.29539499999999,44.059490000000004,603163,Нижегородский район,No
1,No,0,2800,Парк Культуры,Автозаводская линия,1-к квартира,38.0,4,10,1568346240,2 недели назад,56.229170999999994,43.81982,603142,Автозаводский район,No
2,Yes,70,1100,Парк Культуры,Автозаводская линия,2-к квартира,53.0,7,10,1568366220,2 недели назад,56.244725,43.842664,603101,Автозаводский район,No
4,Yes,70,1000,Горьковская,Автозаводская линия,2-к квартира,70.0,11,15,1568369460,2 недели назад,56.309454,43.979765,603000,Советский район,No
4,Yes,70,800,Стрелка,Сормовская линия,2-к квартира,62.0,6,19,1568368980,2 недели назад,56.342042000000006,43.952743,603159,Канавинский район,No
4,Yes,70,1500,Горьковская,Автозаводская линия,3-к квартира,94.3,5,12,1568378220,2 недели назад,56.315121,44.019731,603024,Советский район,No
3,Yes,70,3200,Ленинская,Автозаводская линия,1-к квартира,42.0,5,10,1568368860,2 недели назад,56.284983999999994,43.984238,603081,Советский район,No
3,No,0,2000,Горьковская,Автозаводская линия,2-к квартира,46.0,2,9,1568377020,2 недели назад,56.32686700000001,44.018051,603005,Нижегородский район,No
2,Yes,75,5800,Горьковская,Автозаводская линия,1-к квартира,47.0,5,17,1568361180,2 недели назад,56.28388399999999,44.070547999999995,603087,Нижегородский район,No
4,Yes,70,1800,Горьковская,Автозаводская линия,1-к квартира,45.0,12,25,1568386080,2 недели назад,56.301439,43.976818,603022,Советский район,No
2,Yes,70,600,Горьковская,Автозаводская линия,1-к квартира,37.0,8,10,1568356320,2 недели назад,56.316933,44.003085,603006,Нижегородский район,No
4,Yes,70,500,Горьковская,Автозаводская линия,1-к квартира,44.0,6,10,1568369400,2 недели назад,56.309774,43.994766,603000,Нижегородский район,No
4,Yes,70,900,Горьковская,Автозаводская линия,1-к квартира,37.0,4,12,1568378520,2 недели назад,56.31711800000001,44.008241,603006,Нижегородский район,No
4,Yes,70,5100,Горьковская,Автозаводская линия,3-к квартира,90.0,13,13,1568368380,2 недели назад,56.301624,44.073683,603163,Нижегородский район,No
4,Yes,70,1000,Горьковская,Автозаводская линия,1-к квартира,52.0,7,16,1568368800,2 недели назад,56.309853000000004,43.979989,603000,Советский район,No
4,Yes,70,500,Горьковская,Автозаводская линия,1-к квартира,50.0,4,10,1568368920,2 недели назад,56.314742,43.987418,603000,Нижегородский район,No
1,Yes,60,400,Бурнаковская,Сормовская линия,1-к квартира,32.0,3,5,1568326020,2 недели назад,56.328193999999996,43.915508,603074,Московский район,No
3,Yes,60,1600,Московская,Сормовская линия,3-к квартира,63.0,5,9,1569222480,6 дней назад,56.334926,43.936384999999994,603070,Канавинский район,No
2,No,0,900,Горьковская,Автозаводская линия,1-к квартира,31.0,4,4,1569223620,6 дней назад,56.308241,43.985307,603022,Советский район,No
2,Yes,30,3900,Ленинская,Автозаводская линия,1-к квартира,30.0,2,5,1569221880,6 дней назад,56.279081999999995,43.990526,603081,Советский район,No
2,Yes,50,3000,Буревестник,Сормовская линия,1-к квартира,35.0,5,9,1569223740,6 дней назад,56.354622,43.862957,603003,Сормовский район,No
4,Yes,70,500,Горьковская,Автозаводская линия,1-к квартира,35.0,3,9,1569227940,6 дней назад,56.31205500000001,43.987212,603000,Нижегородский район,No
4,Yes,60,1700,Горьковская,Автозаводская линия,3-к квартира,103.0,7,10,1569228060,6 дней назад,56.315135999999995,44.022946999999995,603024,Советский район,No
3,Yes,70,1600,Бурнаковская,Сормовская линия,3-к квартира,68.0,3,5,1569219300,6 дней назад,56.319679,43.889682,603044,Московский район,No
2,Yes,50,3200,Буревестник,Сормовская линия,2-к квартира,46.0,2,5,1569221280,6 дней назад,56.340924,43.842861,603037,Сормовский район,No
2,Yes,50,6300,Горьковская,Автозаводская линия,1-к квартира,42.0,11,17,1569221280,6 дней назад,56.28977,44.075435,603163,Нижегородский район,No
2,Yes,50,5100,Буревестник,Сормовская линия,1-к квартира,44.0,1,12,1569220320,6 дней назад,56.35860200000001,43.82255900000001,603139,Сормовский район,No
2,No,0,3400,Горьковская,Автозаводская линия,2-к квартира,44.0,1,2,1569217920,6 дней назад,56.309893,44.049528,603093,Нижегородский район,No
2,Yes,60,5000,Буревестник,Сормовская линия,1-к квартира,41.0,4,10,1569219060,6 дней назад,56.36111999999999,43.827365,603050,Сормовский район,No
3,Yes,40,400,Бурнаковская,Сормовская линия,1-к квартира,48.0,4,10,1569222180,6 дней назад,56.32895799999999,43.911538,603074,Московский район,No
1,Yes,60,4700,Двигатель Революции,Автозаводская линия,1-к квартира,36.0,1,2,1569215820,6 дней назад,56.291524,43.849940000000004,604033,Канавинский район,No
2,Yes,0,3100,Горьковская,Автозаводская линия,1-к квартира,33.2,4,5,1569217500,6 дней назад,56.301823,44.040077000000004,603106,Советский район,No
