href,price,agency,commissionPercent,metroDistance,metroStation,adress,metroLine,apartmentType,apartmentSquare,apartmentFloor,buildingFloor,absoluteTime,relativeTime,latitude,longitude,postalCode,area
/nizhniy_novgorod/kvartiry/3-k_kvartira_130_m_34_et._1775878721,90000,,0 %,4.4 км,Горьковская,"Нижний Новгород, улица имени Генерала Ивлиева И. Д.",Автозаводская линия,3-к квартира,130.0,3,4,   21 сентября 13:44 ,1 неделю назад,56.290484,44.052357,,Советский район
/nizhniy_novgorod/kvartiry/4-k_kvartira_120_m_79_et._1361129455,50000,Агентство,50 %,1.6 км,Горьковская,"Нижний Новгород, улица Генкиной, 40",Автозаводская линия,4-к квартира,120.0,7,9,   21 сентября 11:31 ,1 неделю назад,56.314131999999994,44.020674,603024.0,Советский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_58_m_1119_et._1770430343,16000,,50 %,6.8 км,Горьковская,"Нижний Новгород, Нижегородская область, Кстовский район, деревня Афонино, улица Красная Поляна, 4",Автозаводская линия,2-к квартира,58.0,11,19,   21 сентября 10:10 ,1 неделю назад,56.278118000000006,44.083718,,
/nizhniy_novgorod/kvartiry/1-k_kvartira_42_m_1017_et._1682469890,15000,Агентство,60 %,600 м,Стрелка,"жилой район Мещерское Озеро, Нижний Новгород, улица Карла Маркса, 54",Сормовская линия,1-к квартира,42.0,10,17,   21 сентября 10:27 ,1 неделю назад,56.340764,43.950965000000004,603159.0,Канавинский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_68_m_79_et._1763623965,17000,Агентство,60 %,1.1 км,Московская,"Нижний Новгород, улица Генерала Зимина, 40, подъезд 2",Сормовская линия,3-к квартира,68.0,7,9,   21 сентября 08:23 ,1 неделю назад,56.326737,43.930914,,Канавинский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_36_m_29_et._1803277689,14000,Агентство,60 %,4.3 км,Горьковская,"Нижний Новгород, жилой район Кузнечиха, бульвар 60 лет Октября, 22",Автозаводская линия,1-к квартира,36.0,2,9,   21 сентября 08:58 ,1 неделю назад,56.284589000000004,44.041335,,Советский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_67_m_710_et._1457009041,24000,,20 %,200 м,Двигатель Революции,"Нижний Новгород, проспект Ленина, 53к5",Автозаводская линия,3-к квартира,67.0,7,10,   21 сентября 09:57 ,1 неделю назад,56.278677,43.919946,603135.0,Ленинский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_72_m_410_et._998271053,24000,,0 %,5.3 км,Горьковская,"Нижний Новгород, Нижне-Печёрская улица, 4",Автозаводская линия,2-к квартира,72.0,4,10,   21 сентября 10:58 ,1 неделю назад,56.286398,44.06514,603087.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_55_m_59_et._1543742329,22000,"""Этажи - НН""",70 %,1.8 км,Горьковская,"Нижний Новгород, улица Невзоровых, 51",Автозаводская линия,1-к квартира,55.0,5,9,   21 сентября 10:15 ,1 неделю назад,56.316154000000004,44.023053999999995,603024.0,Советский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_39.7_m_25_et._1058156339,25000,"""Этажи - НН""",60 %,500 м,Горьковская,"Нижний Новгород, Звезднка 26а",Автозаводская линия,1-к квартира,39.7,2,5,   21 сентября 10:13 ,1 неделю назад,56.317602,43.998638,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_38_m_1717_et._1092008250,12000,,0 %,2.6 км,Парк Культуры,"Нижний Новгород, Южный б-р",Автозаводская линия,1-к квартира,38.0,17,17,   20 сентября 22:01 ,1 неделю назад,56.216875,43.865229,,Автозаводский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_68.9_m_88_et._1771732389,25000,,70 %,300 м,Горьковская,"Нижний Новгород, Новая улица, 51",Автозаводская линия,2-к квартира,68.9,8,8,   20 сентября 23:46 ,1 неделю назад,56.314161999999996,43.989215,603000.0,Нижегородский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_46_m_25_et._1806896278,16000,Агентство,60 %,5.9 км,Буревестник,"Нижний Новгород, улица Баренца, 8",Сормовская линия,3-к квартира,46.0,2,5,   20 сентября 19:54 ,1 неделю назад,56.368759,43.820808,603158.0,Сормовский район
/nizhniy_novgorod/kvartiry/3-k_kvartira_55_m_47_et._1816779641,35000,,0 %,200 м,Горьковская,"Нижний Новгород, площадь Максима Горького",Автозаводская линия,3-к квартира,55.0,4,7,   20 сентября 23:30 ,1 неделю назад,56.314161999999996,43.991533000000004,,Нижегородский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_42_m_45_et._1258007067,15500,,0 %,2.7 км,Буревестник,"Нижний Новгород, улица Баранова, 7",Сормовская линия,2-к квартира,42.0,4,5,   20 сентября 19:10 ,1 неделю назад,56.333119999999994,43.848503,603035.0,Московский район
/nizhniy_novgorod/kvartiry/2-k_kvartira_48_m_39_et._1653668944,13000,"АН ""Седьмой Континент""",50 %,2.9 км,Буревестник,"Нижний Новгород, улица Культуры",Сормовская линия,2-к квартира,48.0,3,9,   20 сентября 18:05 ,1 неделю назад,56.348771,43.854207,,Сормовский район
/nizhniy_novgorod/kvartiry/1-k_kvartira_33_m_23_et._979804354,9000,,0 %,5.3 км,Парк Культуры,"Нижний Новгород, Нижегородская область, Богородский район, посёлок Новинки, Олимпийский проспект",Автозаводская линия,1-к квартира,33.0,2,3,   20 сентября 18:11 ,1 неделю назад,56.193652,43.85515,,
/nizhniy_novgorod/kvartiry/1-k_kvartira_41_m_1217_et._1798078364,15000,,0 %,2.5 км,Парк Культуры,"Нижний Новгород, улица Героя Шнитникова, 5",Автозаводская линия,1-к квартира,41.0,12,17,   20 сентября 18:56 ,1 неделю назад,56.218947,43.858429,603142.0,Автозаводский район
